epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.6166,1.90238,4.19773,1.81457,0.00161,0.08594,0.01415,0.00988,1.61089,4.32096,1.50028,1.25E-05,1.25E-05,1.25E-05
2,20.3971,1.74596,4.28454,1.5786,0.00202,0.11719,0.017,0.01242,1.40164,4.22168,1.33886,3.74E-05,3.74E-05,3.74E-05
3,29.7003,1.70363,4.07842,1.43927,0.00271,0.16406,0.0389,0.02728,1.22724,4.11936,1.21137,6.23E-05,6.23E-05,6.23E-05
4,39.2453,1.55083,4.24142,1.28557,0.00294,0.1875,0.0476,0.03885,1.14483,3.99277,1.11772,8.70E-05,8.70E-05,8.70E-05
5,48.563,1.34138,3.8348,1.21259,0.00313,0.20722,0.08868,0.06751,1.05292,3.92323,1.05677,0.000111609,0.000111609,0.000111609
6,57.7865,1.24659,3.75952,1.13324,0.00357,0.23547,0.15484,0.11585,0.99206,3.86669,1.01236,0.000136139,0.000136139,0.000136139
7,67.0914,1.26125,3.56958,1.2063,0.00422,0.32276,0.18311,0.14961,0.97867,3.835,0.98827,0.00016057,0.00016057,0.00016057
8,76.3182,1.31561,3.48424,1.15456,0.0045,0.35155,0.19773,0.16401,0.95312,3.81188,0.95913,0.000184901,0.000184901,0.000184901
9,85.7743,1.30231,3.22209,1.19285,0.00447,0.35155,0.19868,0.15994,1.0171,3.80435,0.97842,0.000209134,0.000209134,0.000209134
10,95.4649,1.23642,3.01774,1.14601,0.00455,0.36116,0.19503,0.15678,0.95469,3.75223,0.94603,0.000233268,0.000233268,0.000233268
11,104.103,1.18689,2.93167,1.07447,0.00593,0.47742,0.19593,0.15257,0.97079,3.7313,0.93673,0.000257303,0.000257303,0.000257303
12,112.912,1.23441,2.78962,1.14766,0.0061,0.55569,0.19362,0.14153,0.98252,3.71933,0.93343,0.000281238,0.000281238,0.000281238
13,121.901,1.25771,2.70474,1.12327,0.00634,0.59873,0.19569,0.14869,0.9856,3.71888,0.93244,0.000305075,0.000305075,0.000305075
14,131.063,1.20034,2.41237,0.99304,0.00639,0.61009,0.20035,0.14993,0.98794,3.70538,0.93584,0.000328813,0.000328813,0.000328813
15,139.9,1.15965,2.20165,1.01727,0.00622,0.59873,0.20311,0.14649,0.98503,3.72731,0.94527,0.000352451,0.000352451,0.000352451
16,148.999,1.07247,2.07859,1.0518,0.006,0.576,0.19792,0.15107,0.96593,3.70135,0.95083,0.000375991,0.000375991,0.000375991
17,158.041,1.0897,1.83205,1.03644,0.00533,0.51918,0.19708,0.14702,0.97456,3.72637,0.95719,0.000399432,0.000399432,0.000399432
18,166.9,1.18647,1.89204,1.01896,0.00553,0.5288,0.21696,0.15091,1.03438,3.70286,0.97319,0.000422774,0.000422774,0.000422774
19,175.748,0.9848,1.66314,1.05815,0.00555,0.50782,0.2053,0.14162,1.09382,3.70271,0.99059,0.000446017,0.000446017,0.000446017
20,184.709,1.03263,1.80103,1.10013,0.00361,0.27043,0.15269,0.09512,1.02566,3.82006,1.04141,0.00046916,0.00046916,0.00046916
21,193.542,1.13866,1.69403,1.07324,0.00299,0.23558,0.10335,0.06348,1.04098,3.88806,1.06982,0.000492205,0.000492205,0.000492205
22,202.413,1.21007,1.73422,1.24422,0.00216,0.17127,0.03847,0.01433,1.06983,3.94598,1.08442,0.000515151,0.000515151,0.000515151
23,211.74,1.01805,1.37688,0.99642,0.00152,0.11298,0.03177,0.01521,1.06531,3.95757,1.0941,0.000537997,0.000537997,0.000537997
24,221.644,1.11008,1.33945,1.05985,0.0017,0.12861,0.09951,0.06494,1.01973,3.88689,1.05285,0.000560745,0.000560745,0.000560745
25,230.558,1.15597,1.41553,1.18778,0.00324,0.27224,0.08608,0.06588,1.00233,3.84353,1.06086,0.000583394,0.000583394,0.000583394
26,239.371,1.18122,1.37661,1.06404,0.00481,0.42248,0.12602,0.09805,0.98021,3.77536,1.0394,0.000605944,0.000605944,0.000605944
27,248.368,1.06985,1.27359,1.05748,0.0054,0.46695,0.13519,0.10533,0.99921,3.77607,1.05997,0.000628394,0.000628394,0.000628394
28,257.362,1.00281,1.18332,0.96435,0.0057,0.48257,0.22909,0.17208,1.02265,3.73575,1.12588,0.000650746,0.000650746,0.000650746
29,266.304,1.06094,1.17347,1.03634,0.00612,0.50993,0.22509,0.16341,1.04651,3.71727,1.16881,0.000672999,0.000672999,0.000672999
30,275.243,1.02185,1.22387,1.04899,0.0062,0.49749,0.18838,0.13763,0.99669,3.71195,1.15486,0.000695153,0.000695153,0.000695153
31,283.958,1.02821,1.18498,1.06089,0.00616,0.50885,0.14399,0.10893,0.96338,3.65592,1.1146,0.000717207,0.000717207,0.000717207
32,292.896,1.09116,1.24477,1.00582,1,0.05186,0.15834,0.12707,0.97558,3.62022,1.06855,0.000739163,0.000739163,0.000739163
33,301.772,1.03094,1.22066,1.07605,1,0.05641,0.25111,0.20376,0.91966,3.51009,1.0367,0.00076102,0.00076102,0.00076102
34,310.602,0.98677,1.01842,1.03433,1,0.05675,0.3693,0.27196,0.92181,3.33647,1.04097,0.000782778,0.000782778,0.000782778
35,319.55,0.89424,1.1029,0.98399,1,0.05409,0.42318,0.31562,0.9163,3.28196,1.03926,0.000804437,0.000804437,0.000804437
36,328.543,0.95262,1.02085,1.00051,1,0.05431,0.42965,0.33136,0.88701,3.29784,1.0223,0.000825996,0.000825996,0.000825996
37,337.412,0.94314,1.00567,0.94763,0.91509,0.30723,0.47525,0.36758,0.89058,3.23653,1.0188,0.000847457,0.000847457,0.000847457
38,346.239,1.00927,1.06735,0.97811,1,0.15003,0.49651,0.38065,0.88667,3.16402,1.01398,0.000868819,0.000868819,0.000868819
39,355,0.93686,1.10974,1.05156,1,0.14747,0.51121,0.37907,0.8984,3.08795,1.00516,0.000890081,0.000890081,0.000890081
40,363.8,0.97388,1.03867,0.94818,1,0.13321,0.55837,0.41297,0.90849,3.02116,1.01392,0.000911245,0.000911245,0.000911245
41,373.02,0.97027,1.0928,0.96575,1,0.11688,0.68076,0.50746,0.90516,2.8687,1.01898,0.00093231,0.00093231,0.00093231
42,381.72,0.89368,0.95159,0.95992,1,0.1534,0.7938,0.6043,0.88131,2.72841,1.0091,0.000953276,0.000953276,0.000953276
43,390.795,0.83131,0.9723,1.01909,1,0.18915,0.8179,0.63311,0.86667,2.67067,0.99942,0.000974142,0.000974142,0.000974142
44,399.757,0.86158,0.99363,0.9966,1,0.19781,0.82798,0.63693,0.8745,2.67546,1.01597,0.00099491,0.00099491,0.00099491
