epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.18789,2.00879,4.29752,1.70259,0.00153,0.08594,0.00929,0.00589,1.64873,4.09243,1.52542,0,0,0
2,2.1723,2.0295,4.28433,1.65606,0.00153,0.08594,0.00985,0.00591,1.65462,4.08997,1.52839,1.24753e-05,1.24753e-05,1.24753e-05
3,3.26596,1.90266,4.22926,1.66218,0.00153,0.08594,0.0104,0.0065,1.6668,4.09439,1.53595,2.4901e-05,2.4901e-05,2.4901e-05
4,4.20022,2.00107,4.21029,1.69148,0.00152,0.08594,0.01064,0.00652,1.67344,4.09578,1.53808,3.72772e-05,3.72772e-05,3.72772e-05
5,5.11533,2.03529,4.28526,1.74445,0.0015,0.08594,0.01115,0.00621,1.67373,4.09802,1.53843,4.9604e-05,4.9604e-05,4.9604e-05
6,6.09303,1.99067,4.28524,1.71315,0.00209,0.125,0.01047,0.0083,1.39844,3.97122,1.30734,6.18813e-05,6.18813e-05,6.18813e-05
7,7.30096,1.59823,4.04254,1.41896,0.00215,0.13636,0.00991,0.00789,1.39919,3.9704,1.30818,7.4109e-05,7.4109e-05,7.4109e-05
8,8.49746,1.61413,4.14542,1.46053,0.00313,0.1946,0.04484,0.0338,1.25563,3.84413,1.18055,8.62873e-05,8.62873e-05,8.62873e-05
9,9.70669,1.45528,4.06398,1.28675,0.00348,0.22645,0.0691,0.0546,1.1782,3.74381,1.09793,9.8416e-05,9.8416e-05,9.8416e-05
10,10.999,1.31731,3.85589,1.2041,0.00339,0.22874,0.08408,0.06765,1.09239,3.70533,1.05253,0.000110495,0.000110495,0.000110495
11,12.2233,1.34857,3.89203,1.20425,0.00335,0.24064,0.11426,0.09471,1.04012,3.68494,1.02505,0.000122525,0.000122525,0.000122525
12,13.4214,1.25223,3.72219,1.19647,0.00338,0.24845,0.1504,0.12303,1.00617,3.68156,1.00875,0.000134505,0.000134505,0.000134505
13,14.6553,1.23223,3.61711,1.1419,0.00321,0.23655,0.16889,0.14734,0.97672,3.65349,0.98139,0.000146436,0.000146436,0.000146436
14,15.9956,1.23449,3.49152,1.09841,0.00282,0.24617,0.18401,0.15484,0.992,3.65033,0.98335,0.000158317,0.000158317,0.000158317
15,17.2222,1.25241,3.436,1.13349,0.00315,0.27676,0.19621,0.16076,0.9949,3.63716,0.96817,0.000170149,0.000170149,0.000170149
16,18.4415,1.19195,3.29337,1.0589,0.00378,0.32882,0.20278,0.16505,0.94139,3.63407,0.94815,0.000181931,0.000181931,0.000181931
17,19.6628,1.12876,3.13618,1.08752,0.00449,0.38443,0.20537,0.16488,0.91139,3.63035,0.94404,0.000193664,0.000193664,0.000193664
18,20.9097,1.23395,3.1332,1.09011,0.00505,0.4728,0.20678,0.16497,0.94091,3.64457,0.96573,0.000205347,0.000205347,0.000205347
19,22.1547,1.22274,2.9243,1.14805,0.00598,0.54939,0.20969,0.15441,0.94677,3.65615,0.97135,0.000216981,0.000216981,0.000216981
20,23.3641,1.24881,2.86741,1.0878,0.0068,0.63156,0.21174,0.14847,0.93016,3.63794,0.94771,0.000228565,0.000228565,0.000228565
21,24.5809,1.13461,2.68306,1.06866,0.00705,0.66215,0.21298,0.13016,0.93221,3.61281,0.93194,0.0002401,0.0002401,0.0002401
